std,"[28.944782597249571, 28.944782597249571, 28.272706303297579, 27.628721118308995, 26.999694204016997, 26.376820632771526, 25.75431287683006, 25.129028956326341, 24.499310987624639, 23.864725580927907, 23.225911870634384, 22.584025903352423, 21.940279633714937, 21.296284478276313, 20.653430160367989, 20.013549093189344, 19.378327909113004, 18.749030176758197, 18.127223409861482, 17.513992864230502, 16.910445999400292, 16.317448798172915, 15.735873672122446, 15.164315211245707, 14.607455089806155, 14.065203899008424, 13.537574345057577, 13.01939228818601, 12.516112840500124, 12.028000184775324, 11.549200006635186, 11.084969391795783, 10.64220610393029, 10.205884607536763, 9.7644893170708098, 9.3293094424909331, 8.9089035746145182, 8.4839505318113204, 8.07216489489781, 7.6599322036958881, 7.2643333006651973, 6.8616096816460868, 6.474728302210532, 6.0918063717312663, 5.7164687460660915, 5.3676179672626159, 5.0370302060793657, 4.7279559688697317, 4.4263671633326176, 4.1427364476288639, 3.8688718460857454, 3.6096836664696936, 3.3701833408269541, 3.1419568317411986, 2.9237628388481114, 2.7216875476964577, 2.534436629608753, 2.3608307586002306, 2.1997939961754627, 2.0503442463469215, 1.9115836414933303, 1.7826910365986932, 1.6629142096882388, 1.5515639566689592, 1.4480077196505652, 1.3516646769430891, 1.2620013225775573, 1.1785266940135497, 1.1007888755574082, 1.0283718366543884, 0.96089179033327909, 0.89799469601992121, 0.8393537330150963, 0.78466701189791399, 0.7336557548389282, 0.68606186963813498, 0.64164652607707517, 0.60018859748377673, 0.56148324129324489, 0.52534060486301937, 0.49158464429369397, 0.46005204532115873, 0.43059123651179348, 0.40306148602241093, 0.37733232051844801, 0.35328224503483646, 0.33079832411195392, 0.30977554196290835, 0.29011621434509233, 0.27172944754485345, 0.25453064033509709, 0.23844102516797247, 0.22338724522413081, 0.20930096426136444, 0.19611850649308149, 0.18378052398488168, 0.17223168928883259, 0.16142041124286849, 0.15129857204965844, 0.14182128391760201, 0.13294666369835412, 0.1246356240922271, 0.11685168011656842, 0.10956076964414466, 0.10273108691993454, 0.096332928056631933, 0.090338547592554455, 0.084722025271425708, 0.079459142272397601, 0.074527266181405094, 0.069905244052095902, 0.065573302956708907, 0.061512957474858056, 0.057706923611663345, 0.054139038676433299, 0.05079418668950144, 0.047658228918157096, 0.044717939173179677, 0.041960943525524118, 0.039375664128456798, 0.036951266854093813, 0.034677612475047671, 0.032545211141897019, 0.030545179925620086, 0.028669203211103951, 0.026909495743484248, 0.025258768143499567, 0.023710194721359497, 0.022257383430916895, 0.020894347817291811, 0.019615480821590044, 0.018415530316061478, 0.017289576252024774, 0.016233009311190136, 0.015241510958704879, 0.014311034803375243, 0.013437789177115089, 0.012618220851797675, 0.011848999817359016, 0.011127005050266923, 0.010449311206355965]"
node_with_highest_closeness_centrality,"[42.6417766218, 42.6417766218, 41.03928956639932, 39.49354275065158, 38.009892261405334, 36.59177522286968, 35.24076771957433, 33.95767173136215, 32.740988944057584, 31.589054754077644, 30.50053174746055, 29.47385453041138, 28.506209245182735, 27.594101565712105, 26.73489160372566, 25.926243233982852, 25.164553186735994, 24.44602512482574, 23.768208967732548, 23.12838174388958, 22.52407765116847, 21.953061143699813, 21.413313700200142, 20.903010771874904, 20.420501420382582, 19.963793326748693, 19.531079691558237, 19.1207697649976, 18.738725836433986, 18.38183252061923, 18.047396745913176, 17.732728205282896, 17.436462542295114, 17.156950847778013, 16.892773125330372, 16.64226998670227, 16.40932463764612, 16.192455787541252, 15.99386156604684, 15.811160483144182, 15.642398835862576, 15.486067660709224, 15.340909475985018, 15.205921454009903, 15.080328704389991, 14.962999586069525, 14.855887884931985, 14.758480939566255, 14.669500545564675, 14.588394875631755, 14.514748749358922, 14.447758575159947, 14.386750458496728, 14.330657169274104, 14.279046297229272, 14.231573090782035, 14.18796965945395, 14.148035346440803, 14.111120085984604, 14.077158546486398, 14.045620276341323, 14.016545505935618, 13.98949678313253, 13.964596112758425, 13.941477792768907, 13.919818566288656, 13.89984127065509, 13.881269082654724, 13.863856936483685, 13.847896309935406, 13.833170490935952, 13.819486912593732, 13.806674697610736, 13.794582444503824, 13.783584297139404, 13.773536365366017, 13.764310097787616, 13.755790759117982, 13.747876055003593, 13.740474890093163, 13.7335062465108, 13.726898171133552, 13.720586861196402, 13.714515838760544, 13.709143270619643, 13.70439951501096, 13.700221508415495, 13.696552155921237, 13.693339777982565, 13.690537608319746, 13.688103338198356, 13.685998702776848, 13.684189105616092, 13.682643277811597, 13.681332968541058, 13.680232664120288, 13.679319332932415, 13.678572193841346, 13.677972505923236, 13.677503377551492, 13.677149593053457, 13.676897455322466, 13.676734642918817, 13.676650080329033, 13.676633820175923, 13.67667693628341, 13.676771426601318, 13.67691012508691, 13.677086621723168, 13.677295189929174, 13.677530720686297, 13.677788662766032, 13.678064968501513, 13.678356044595908, 13.678658707507175, 13.678970142990805, 13.67928786942034, 13.6796097045402, 13.679933735336741, 13.68025829074223, 13.680581916912264, 13.68090335484086, 13.681221520098848, 13.681535484500705, 13.681844459522653, 13.682147781310992, 13.6824448971342, 13.682735353145702, 13.683018783336227, 13.68329489956574, 13.68356348257488, 13.683824373884944, 13.684077468503713, 13.684322708361954, 13.68456007641225, 13.684789591328036, 13.685011302746387, 13.685225287003231, 13.685431643314358, 13.685630490359845, 13.685821963233412]"
avg,"[1.4300676267985331, 1.4300676267985331, 1.5095401017380299, 1.5823264097329783, 1.6563752925092112, 1.7374423385025473, 1.8294435861517666, 1.9350851028415235, 2.054873814960362, 2.1890336030170205, 2.3377871924708611, 2.5010864672666262, 2.6778442683317003, 2.8660116879084025, 3.064649991032379, 3.2726302868902213, 3.487593345226724, 3.7072796372580741, 3.9303296287328426, 4.1554313448713671, 4.3813424894900166, 4.6071300595579023, 4.8319106469842366, 5.0636402121522375, 5.2921049442903563, 5.5165779096789507, 5.7363708771139663, 5.9651568798118113, 6.1936352395915444, 6.4206470527592501, 6.6572458821336804, 6.8943975247322102, 7.120106976075423, 7.3557767180054796, 7.6180995878318933, 7.8917481984485178, 8.1647279882382726, 8.4571181155600765, 8.7476799709758453, 9.0466988319903621, 9.336660230789688, 9.6341696455244747, 9.9201310740612296, 10.200967250183588, 10.472928850810195, 10.723996109534847, 10.958073796258295, 11.174413499970875, 11.378950740221434, 11.567944546427652, 11.745199341848329, 11.909322886604691, 12.05930299196989, 12.197765864410394, 12.325619132588058, 12.442056654470857, 12.548196607363794, 12.64509804090641, 12.733251907008743, 12.813634646272645, 12.886659126055278, 12.953227967157243, 13.013684238234969, 13.068864553811313, 13.119049553962256, 13.164504631845597, 13.205992960474976, 13.243725731732393, 13.277902657866353, 13.309224785895381, 13.337844537001191, 13.363906020317811, 13.387545501992868, 13.408891846314761, 13.428579099471454, 13.446696312181775, 13.463327649690086, 13.478552669152545, 13.492446580423172, 13.505080491311194, 13.516521638305029, 13.526833603688017, 13.536076519906265, 13.544307261989402, 13.5520917975352, 13.559454789522169, 13.566419499535305, 13.573007870593141, 13.579240604804163, 13.585137236199449, 13.590716199063017, 13.595994892058023, 13.600989738425477, 13.605716242512441, 13.610189042868271, 13.614421962130841, 13.618428053909074, 13.622219646853711, 13.625808386095207, 13.62920527221511, 13.63242069790625, 13.635464482466327, 13.63834590425992, 13.641073731274865, 13.64365624989061, 13.646101291968415, 13.648416260366016, 13.650608152972763, 13.652683585354962, 13.654648812095349, 13.656509746905371, 13.65827198158374, 13.659940803890263, 13.661521214399453, 13.663017942394458, 13.664435460858002, 13.665778000613605, 13.6670495636669, 13.668253935793942, 13.669394698420433, 13.670475239833159, 13.671498765762353, 13.672468309371435, 13.673386740688311, 13.674256775510383, 13.675080983813514, 13.675861797693351, 13.676601518865699, 13.677302325751159, 13.67796628016762, 13.678595333652888, 13.679191333438412, 13.679756028093799, 13.680291072860742, 13.68079803469378, 13.681278397024444, 13.681733564264213, 13.682164866061013, 13.682573561322929, 13.68296084202219, 13.683327836791653]"
network,"[(0, {'orientation': 13.680478202228027}), (1, {'orientation': 13.68338118164502}), (2, {'orientation': 13.682837405644609}), (3, {'orientation': 13.683192485246808}), (4, {'orientation': 13.683788363772939}), (5, {'orientation': 13.676256493471366}), (6, {'orientation': 13.6748763587882}), (7, {'orientation': 13.671834413602886}), (8, {'orientation': 13.662425099212141}), (9, {'orientation': 13.663054225553015}), (10, {'orientation': 13.664796231387868}), (11, {'orientation': 13.675908729267656}), (12, {'orientation': 13.678930365843021}), (13, {'orientation': 13.680898927015077}), (14, {'orientation': 13.685732295830705}), (15, {'orientation': 13.688698660100444}), (16, {'orientation': 13.690805654878623}), (17, {'orientation': 13.693132311831008}), (18, {'orientation': 13.690068615251935}), (19, {'orientation': 13.693228793108918}), (20, {'orientation': 13.68865419563557}), (21, {'orientation': 13.68838609279883}), (22, {'orientation': 13.688633519064606}), (23, {'orientation': 13.686174082645868}), (24, {'orientation': 13.690233854302779}), (25, {'orientation': 13.687775786226503}), (26, {'orientation': 13.689035587762946}), (27, {'orientation': 13.688137100809405}), (28, {'orientation': 13.689693612101479}), (29, {'orientation': 13.688186895347522}), (30, {'orientation': 13.688980768974854}), (31, {'orientation': 13.689248132108261}), (32, {'orientation': 13.68753616496352}), (33, {'orientation': 13.685951293255386}), (34, {'orientation': 13.679981294272613}), (35, {'orientation': 13.684247396495202}), (36, {'orientation': 13.68763872876349}), (37, {'orientation': 13.68745095575663}), (38, {'orientation': 13.686631444091809}), (39, {'orientation': 13.685870860102058}), (40, {'orientation': 13.68589229819933}), (41, {'orientation': 13.685011478845395}), (42, {'orientation': 13.684354485540839}), (43, {'orientation': 13.680873007515414}), (44, {'orientation': 13.678364590843152}), (45, {'orientation': 13.674131408638795}), (46, {'orientation': 13.672934123349927}), (47, {'orientation': 13.675307414771892}), (48, {'orientation': 13.676620096478853}), (49, {'orientation': 13.674908007280507}), (50, {'orientation': 13.67545878131966}), (51, {'orientation': 13.670475103245511}), (52, {'orientation': 13.68019719374139}), (53, {'orientation': 13.68361311338069}), (54, {'orientation': 13.691433519340666}), (55, {'orientation': 13.69193711216533}), (56, {'orientation': 13.692207104751507}), (57, {'orientation': 13.691852028112635}), (58, {'orientation': 13.690293087931746}), (59, {'orientation': 13.689094801901144}), (60, {'orientation': 13.689281897948662}), (61, {'orientation': 13.68939052705642}), (62, {'orientation': 13.686006210721715}), (63, {'orientation': 13.683382307372268}), (64, {'orientation': 13.679223697108483}), (65, {'orientation': 13.673653131093326}), (66, {'orientation': 13.666850213140057}), (67, {'orientation': 13.658737603300267}), (68, {'orientation': 13.649803891870622}), (69, {'orientation': 13.646940093088386}), (70, {'orientation': 13.64019434951431}), (71, {'orientation': 13.644431895558009}), (72, {'orientation': 13.65608393121597}), (73, {'orientation': 13.664878296606684}), (74, {'orientation': 13.682665978877289}), (75, {'orientation': 13.685980141968372}), (76, {'orientation': 13.690370068348498}), (77, {'orientation': 13.690122898972513}), (78, {'orientation': 13.689857518060963}), (79, {'orientation': 13.688749447127487}), (80, {'orientation': 13.68887737923846}), (81, {'orientation': 13.686223627526278}), (82, {'orientation': 13.688697138985399}), (83, {'orientation': 13.689605595588683}), (84, {'orientation': 13.688045856587287}), (85, {'orientation': 13.692473864395282}), (86, {'orientation': 13.692173289843419}), (87, {'orientation': 13.692072320071137}), (88, {'orientation': 13.688061650984098}), (89, {'orientation': 13.686446213393436}), (90, {'orientation': 13.680346592342564}), (91, {'orientation': 13.686495350164407}), (92, {'orientation': 13.686089488954803}), (93, {'orientation': 13.684459759390366}), (94, {'orientation': 13.681512053945582}), (95, {'orientation': 13.677052306709292}), (96, {'orientation': 13.67701421535192}), (97, {'orientation': 13.676665255796218}), (98, {'orientation': 13.67939909248009}), (99, {'orientation': 13.673921800266001}), (100, {'orientation': 13.67438404889179}), (101, {'orientation': 13.672047442933932}), (102, {'orientation': 13.676227229711065}), (103, {'orientation': 13.680776800093845}), (104, {'orientation': 13.678888427980537}), (105, {'orientation': 13.682077542527114}), (106, {'orientation': 13.68019476423213}), (107, {'orientation': 13.680727356248967}), (108, {'orientation': 13.677809421311741}), (109, {'orientation': 13.679060481674675}), (110, {'orientation': 13.682623551179626}), (111, {'orientation': 13.684050930776563}), (112, {'orientation': 13.686167585736364}), (113, {'orientation': 13.685240390455704}), (114, {'orientation': 13.686516696543128}), (115, {'orientation': 13.684937247220486}), (116, {'orientation': 13.688057971863405}), (117, {'orientation': 13.686415814250166}), (118, {'orientation': 13.686110352614453}), (119, {'orientation': 13.68599372029618}), (120, {'orientation': 13.680046577079223}), (121, {'orientation': 13.679984480477843}), (122, {'orientation': 13.679442284131634}), (123, {'orientation': 13.674076564184391}), (124, {'orientation': 13.68039033547596}), (125, {'orientation': 13.681143955052658}), (126, {'orientation': 13.680590151746227}), (127, {'orientation': 13.682825193892432}), (128, {'orientation': 13.680388090967185}), (129, {'orientation': 13.685420105302837}), (130, {'orientation': 13.687605599882767}), (131, {'orientation': 13.689514542885263}), (132, {'orientation': 13.691894805326395}), (133, {'orientation': 13.688278589304845}), (134, {'orientation': 13.695151886091816}), (135, {'orientation': 13.690517539635227}), (136, {'orientation': 13.69409497029513}), (137, {'orientation': 13.692221123622764}), (138, {'orientation': 13.693721696562285}), (139, {'orientation': 13.695967732063922}), (140, {'orientation': 13.694016175256886}), (141, {'orientation': 13.696090495742197}), (142, {'orientation': 13.696027993670766}), (143, {'orientation': 13.69492042384038}), (144, {'orientation': 13.69690411376047}), (145, {'orientation': 13.698372344041388}), (146, {'orientation': 13.69850181466596}), (147, {'orientation': 13.696510260745512}), (148, {'orientation': 13.697268021525261}), (149, {'orientation': 13.697915981956658}), (150, {'orientation': 13.692952656849137}), (151, {'orientation': 13.696621302352044}), (152, {'orientation': 13.691687842792723}), (153, {'orientation': 13.690891913834678}), (154, {'orientation': 13.694119353802469}), (155, {'orientation': 13.691127133407221}), (156, {'orientation': 13.69444900057083}), (157, {'orientation': 13.694529638566712}), (158, {'orientation': 13.693837618916023}), (159, {'orientation': 13.686796408269704}), (160, {'orientation': 13.691797191121715}), (161, {'orientation': 13.690928419851302}), (162, {'orientation': 13.692888262474957}), (163, {'orientation': 13.690782068199933}), (164, {'orientation': 13.685124238338389}), (165, {'orientation': 13.685758720874002}), (166, {'orientation': 13.68467025729907}), (167, {'orientation': 13.68611521976332}), (168, {'orientation': 13.686031773220156}), (169, {'orientation': 13.688229803955446}), (170, {'orientation': 13.689667370732636}), (171, {'orientation': 13.689962601129897}), (172, {'orientation': 13.691062843255892}), (173, {'orientation': 13.691333156397448}), (174, {'orientation': 13.689652812035787}), (175, {'orientation': 13.68458760680774}), (176, {'orientation': 13.681295055435223}), (177, {'orientation': 13.674256167566902}), (178, {'orientation': 13.665762641567781}), (179, {'orientation': 13.66125882416567}), (180, {'orientation': 13.654368841605015}), (181, {'orientation': 13.666250023042924}), (182, {'orientation': 13.672003868955358}), (183, {'orientation': 13.677859241080098}), (184, {'orientation': 13.677224149767017}), (185, {'orientation': 13.679956148712648}), (186, {'orientation': 13.682339153996493}), (187, {'orientation': 13.685241838039328}), (188, {'orientation': 13.683598387163501}), (189, {'orientation': 13.687908513482695}), (190, {'orientation': 13.686542737258819}), (191, {'orientation': 13.691705940047331}), (192, {'orientation': 13.69159296736959}), (193, {'orientation': 13.689616995637603}), (194, {'orientation': 13.685125264222826}), (195, {'orientation': 13.686808729078422}), (196, {'orientation': 13.683504064615837}), (197, {'orientation': 13.682481673767432}), (198, {'orientation': 13.68333871049693}), (199, {'orientation': 13.68139779995595})]"
node_with_highest_degree_centrality,"[47.6769332035, 47.6769332035, 45.3341799185104, 43.102750158416384, 40.98632687167655, 38.98637643147034, 37.10229221975072, 35.33254350898762, 33.67320196098069, 32.12013318312601, 30.66952223516226, 29.317347000847015, 28.058380160956055, 26.886769007547905, 25.79760870780646, 24.78637833590106, 23.84737406340553, 22.974805898197157, 22.164334239636034, 21.41145520612948, 20.712024556786364, 20.062234737377644, 19.45859339064318, 18.897895907145777, 18.377207759062717, 17.893343090267656, 17.443386264353894, 17.024719697432392, 16.634939945213766, 16.271847450361623, 15.933429182093372, 15.617416460778129, 15.322771212776676, 15.048090146582215, 14.792075517459024, 14.56229476048939, 14.35967220419973, 14.180982271569322, 14.026500375778985, 13.892635253871706, 13.776435360605431, 13.681881959273676, 13.605438226094515, 13.54420815386071, 13.495821255053192, 13.457801214856648, 13.42805363123981, 13.405857192278777, 13.38970208567808, 13.378845002108129, 13.37273906477152, 13.370494258477228, 13.37139163905902, 13.374348917890629, 13.378951001173672, 13.3848928163743, 13.391963958953724, 13.400035200963803, 13.408534510947986, 13.41748711447854, 13.426454610674417, 13.435577522427824, 13.444516616770192, 13.453497405488688, 13.462253191148232, 13.470558958903132, 13.478738357285604, 13.486608687880318, 13.494016517325441, 13.501346180097135, 13.508466114409567, 13.515265664567972, 13.521652500681483, 13.527550333959672, 13.53340902974015, 13.53915236864189, 13.544716110031032, 13.550046527215603, 13.555099109026203, 13.55983740931325, 13.564232027932688, 13.568259708607282, 13.571902540664592, 13.57514725308819, 13.578496725801728, 13.581918988810354, 13.585386381358273, 13.588875056485335, 13.592364539824988, 13.595837336777022, 13.599278582824356, 13.60267573232943, 13.606018281650417, 13.609297522867129, 13.612506324807224, 13.61563893842053, 13.618690823867684, 13.621658496973183, 13.624539392946005, 13.627331745496706, 13.630034479681171, 13.632647116980754, 13.635169691288693, 13.637602674615614, 13.639946911454416, 13.642203560858608, 13.64437404538973, 13.646460006180122, 13.648463263438208, 13.650385781795684, 13.65222963996054, 13.653997004197352, 13.655690105207794, 13.65731121803017, 13.658862644617857, 13.660346698793136, 13.661765693305654, 13.663121928753988, 13.664417684154904, 13.665655208968257, 13.666836716406308, 13.667964377874888, 13.669040318410472, 13.670066612992114, 13.671045283620463, 13.671978297067978, 13.67286756321504, 13.673714933896163, 13.674522202188971, 13.675291102086126, 13.676023308497195, 13.67672043753347, 13.6773840470341, 13.678015637296717, 13.67861665198007, 13.67918847914992, 13.679732452442956, 13.680249852326446, 13.680741907434122, 13.681209795961163, 13.681654647103317]"
affected_canddiates,True
node_with_highest_eigenvector_centrality,"[42.6417766218, 42.6417766218, 41.03928956639932, 39.49354275065158, 38.009892261405334, 36.59177522286968, 35.24076771957433, 33.95767173136215, 32.740988944057584, 31.589054754077644, 30.50053174746055, 29.47385453041138, 28.506209245182735, 27.594101565712105, 26.73489160372566, 25.926243233982852, 25.164553186735994, 24.44602512482574, 23.768208967732548, 23.12838174388958, 22.52407765116847, 21.953061143699813, 21.413313700200142, 20.903010771874904, 20.420501420382582, 19.963793326748693, 19.531079691558237, 19.1207697649976, 18.738725836433986, 18.38183252061923, 18.047396745913176, 17.732728205282896, 17.436462542295114, 17.156950847778013, 16.892773125330372, 16.64226998670227, 16.40932463764612, 16.192455787541252, 15.99386156604684, 15.811160483144182, 15.642398835862576, 15.486067660709224, 15.340909475985018, 15.205921454009903, 15.080328704389991, 14.962999586069525, 14.855887884931985, 14.758480939566255, 14.669500545564675, 14.588394875631755, 14.514748749358922, 14.447758575159947, 14.386750458496728, 14.330657169274104, 14.279046297229272, 14.231573090782035, 14.18796965945395, 14.148035346440803, 14.111120085984604, 14.077158546486398, 14.045620276341323, 14.016545505935618, 13.98949678313253, 13.964596112758425, 13.941477792768907, 13.919818566288656, 13.89984127065509, 13.881269082654724, 13.863856936483685, 13.847896309935406, 13.833170490935952, 13.819486912593732, 13.806674697610736, 13.794582444503824, 13.783584297139404, 13.773536365366017, 13.764310097787616, 13.755790759117982, 13.747876055003593, 13.740474890093163, 13.7335062465108, 13.726898171133552, 13.720586861196402, 13.714515838760544, 13.709143270619643, 13.70439951501096, 13.700221508415495, 13.696552155921237, 13.693339777982565, 13.690537608319746, 13.688103338198356, 13.685998702776848, 13.684189105616092, 13.682643277811597, 13.681332968541058, 13.680232664120288, 13.679319332932415, 13.678572193841346, 13.677972505923236, 13.677503377551492, 13.677149593053457, 13.676897455322466, 13.676734642918817, 13.676650080329033, 13.676633820175923, 13.67667693628341, 13.676771426601318, 13.67691012508691, 13.677086621723168, 13.677295189929174, 13.677530720686297, 13.677788662766032, 13.678064968501513, 13.678356044595908, 13.678658707507175, 13.678970142990805, 13.67928786942034, 13.6796097045402, 13.679933735336741, 13.68025829074223, 13.680581916912264, 13.68090335484086, 13.681221520098848, 13.681535484500705, 13.681844459522653, 13.682147781310992, 13.6824448971342, 13.682735353145702, 13.683018783336227, 13.68329489956574, 13.68356348257488, 13.683824373884944, 13.684077468503713, 13.684322708361954, 13.68456007641225, 13.684789591328036, 13.685011302746387, 13.685225287003231, 13.685431643314358, 13.685630490359845, 13.685821963233412]"
node_with_minimum_degree_centrality,"[-34.1155117494, -34.1155117494, -34.338230141902315, -34.439424985785685, -34.421925722597656, -34.290387902827064, -34.050616176094124, -33.709444409145405, -33.27514309213699, -32.75576518612265, -32.15911985667903, -31.49275318284308, -30.76444690823124, -29.982695896627, -29.154092463085668, -28.28545666285047, -27.384323587898493, -26.457359565754356, -25.510397911163675, -24.548474651148773, -23.5763757300181, -22.598133321787326, -21.617573043189616, -20.638321745868375, -19.663302367484498, -18.695281042220454, -17.736874508551914, -16.79044311607703, -15.85773688856749, -14.940430585851487, -14.040123941462744, -13.158342539378557, -12.29551503283277, -11.452051868696921, -10.628856740617717, -9.826786860435329, -9.046141750567273, -8.286688399903195, -7.54864675159067, -6.831728553429279, -6.127165532918737, -5.436742775365845, -4.7619296344672986, -4.096168754957106, -3.441584734133449, -2.8003057473375472, -2.1740980019042477, -1.5633477912772422, -0.9687616985806209, -0.37901918749015884, 0.20239579344241884, 1.1786066282379792, 2.0828461956486812, 2.920016775456205, 3.6951915473406185, 4.413100212802971, 5.078152677305226, 5.694461098980727, 6.2653483342293885, 6.7944174954829855, 7.28451791473975, 7.738812211314544, 8.159739936317898, 8.550082481385695, 8.911924713811654, 9.24720593701332, 9.558242320780735, 9.846686054894755, 10.11407400285202, 10.362347988296696, 10.592811956616648, 10.80667877800107, 11.005076735991626, 11.189055547600146, 11.360104027671854, 11.519104816204564, 11.66687892169928, 11.804190112231238, 11.93174898880018, 12.05021676411914, 12.160208768323521, 12.262297701522606, 12.357016651666072, 12.444861894851568, 12.526807572734997, 12.603257648987189, 12.674587882277224, 12.741147832972482, 12.80326272464005, 12.861235170991645, 12.915346778129795, 12.965859631225975, 13.013017674087783, 13.057047989448082, 13.098161987230853, 13.136556507513053, 13.172414844405738, 13.205907696618551, 13.237194050046305, 13.26642199732277, 13.293729498922104, 13.319245090051, 13.343088537262057, 13.365371448429748, 13.386197839462527, 13.405664660876772, 13.423862287128781, 13.440874971388622, 13.456781268242969, 13.471654426631986, 13.485562755156785, 13.498569961737857, 13.510735469460473, 13.522114710309124, 13.5327593983693, 13.54271778396005, 13.552034890054564, 13.560752732247584, 13.568910523437273, 13.576544864304722, 13.583689920596054, 13.59037758813956, 13.596637646463186, 13.602497901815422, 13.607984320334946, 13.61312115206097, 13.61793104642662, 13.622435159831788, 13.626653255849273, 13.630603798578559, 13.634304039624926, 13.6377700991477, 13.641017041389814, 13.64405894507178, 13.646908969005965, 13.649579413261925, 13.652081776190252, 13.654426807590673, 13.656624558290074, 13.658684426377459, 13.660615200325473]"
acceptance,0.05
median,"[1.3965651024699999, 1.3965651024699999, 4.4315569446048082, 6.8219627480802654, 8.6999975244420398, 10.256768389010411, 11.148503282271143, 11.950879815197162, 12.735506054899556, 13.472421376814676, 13.775783979273511, 13.778673985644303, 14.029542194236466, 14.102455418828601, 13.809297728221589, 13.464269810601422, 13.337060260264689, 13.209391156096128, 13.083153134912616, 12.959436884611343, 12.839129000132505, 12.722948069079141, 12.611477825454461, 12.505185685929337, 12.314002338945057, 12.09959536198175, 11.905737738497923, 11.7305949921431, 11.57250005551928, 11.429942650825604, 11.521786223605421, 11.46191705345519, 11.327607702587912, 11.208330544880781, 11.102846641238511, 11.241320767877323, 11.186177483486446, 11.212206414544028, 11.252799731657525, 11.280223834334176, 11.428235253594414, 11.557631761205652, 11.675293213907873, 11.692389587742953, 11.786545580330621, 12.023039755795715, 12.203322076617518, 12.401911267723762, 12.507725555378492, 12.665440922101622, 12.69399267177776, 12.713556164952269, 12.764904213524911, 12.842115298814395, 12.916698443578056, 12.973117810146473, 13.007286120926413, 13.048127144909564, 13.106098753423524, 13.15475464991753, 13.207743838521527, 13.243374888771509, 13.284253169820062, 13.316073275220443, 13.336494669469239, 13.357326958852646, 13.389026102273601, 13.426409789523671, 13.448742440198966, 13.462359164103663, 13.483376754335719, 13.503800679963422, 13.517580420390679, 13.526561983075682, 13.535124265321461, 13.545334691291171, 13.556269655400248, 13.564899815505189, 13.575021941124376, 13.58294057599467, 13.591048436359097, 13.59925048793972, 13.6048121129507, 13.611712043982337, 13.617769416599446, 13.622819134687372, 13.627466119389531, 13.63083186527831, 13.633935337751673, 13.636869794441569, 13.639644701179652, 13.641463795552767, 13.643853140497509, 13.64578674330466, 13.646672828693116, 13.647634406885388, 13.649638732851619, 13.651105335619931, 13.652538777173955, 13.653944881721767, 13.65558430556975, 13.656821152869712, 13.658039124467511, 13.659885442905786, 13.661690005686333, 13.663513299731203, 13.66477225494679, 13.666087093144128, 13.667424361489321, 13.668691318166843, 13.669794023468853, 13.670935552964572, 13.671869381309923, 13.672767048896622, 13.673702494697231, 13.674555310840013, 13.675355717969076, 13.676113179456175, 13.676830141856847, 13.677508898015915, 13.678029178495988, 13.678550769730073, 13.679129674950723, 13.679678984468152, 13.680200231209096, 13.680694867761854, 13.681164270600291, 13.681609744090151, 13.682032524288095, 13.682433782543429, 13.682836771261332, 13.683219949444927, 13.683581762841953, 13.683897488677745, 13.684194299638417, 13.684462419705715, 13.684721500895307, 13.685002968230087, 13.685287927818848, 13.685556174796403, 13.685798964277012]"
